Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
11 jun 2016;536,52;549,04;
12 jun 2016;536,52;549,04;
13 jun 2016;536,52;549,04;
14 jun 2016;536,33;548,83;
15 jun 2016;536,20;548,77;
16 jun 2016;536,18;548,79;
17 jun 2016;536,14;548,76;
18 jun 2016;537,14;549,74;
19 jun 2016;537,14;549,74;
20 jun 2016;537,14;549,74;
21 jun 2016;539,81;552,54;
22 jun 2016;539,86;552,66;
23 jun 2016;540,13;552,75;
24 jun 2016;540,49;553,08;
25 jun 2016;540,33;552,90;
26 jun 2016;540,33;552,90;
27 jun 2016;540,33;552,90;
28 jun 2016;540,47;552,93;
29 jun 2016;541,63;554,11;
30 jun 2016;541,67;554,20;
1 jul 2016;541,59;554,14;
2 jul 2016;541,58;554,11;
3 jul 2016;541,58;554,11;
4 jul 2016;541,58;554,11;
5 jul 2016;541,59;554,10;
6 jul 2016;542,03;554,69;
7 jul 2016;542,15;554,84;
8 jul 2016;542,17;554,88;
9 jul 2016;542,49;555,16;
10 jul 2016;542,49;555,16;
11 jul 2016;542,49;555,16;
12 jul 2016;542,61;555,16;
13 jul 2016;542,55;555,17;
14 jul 2016;542,17;554,74;
15 jul 2016;541,51;554,16;
16 jul 2016;541,41;554,04;
17 jul 2016;541,41;554,04;
18 jul 2016;541,41;554,04;
19 jul 2016;541,48;554,02;
20 jul 2016;541,39;554,03;
21 jul 2016;541,39;554,03;
22 jul 2016;541,42;554,12;
23 jul 2016;541,36;554,30;
24 jul 2016;541,36;554,30;
25 jul 2016;541,36;554,30;
26 jul 2016;541,36;554,30;
27 jul 2016;541,42;554,16;
28 jul 2016;541,31;554,16;
29 jul 2016;542,81;555,60;
30 jul 2016;543,29;556,16;
31 jul 2016;543,29;556,16;
1 ago 2016;543,29;556,16;
2 ago 2016;543,18;555,91;
3 ago 2016;543,18;555,91;
4 ago 2016;543,19;555,87;
5 ago 2016;543,26;556,02;
6 ago 2016;543,31;556,03;
7 ago 2016;543,31;556,03;
8 ago 2016;543,31;556,03;
9 ago 2016;543,22;555,93;
10 ago 2016;543,59;556,33;
11 ago 2016;543,61;556,31;
12 ago 2016;543,64;556,41;
13 ago 2016;543,50;556,18;
14 ago 2016;543,50;556,18;
15 ago 2016;543,50;556,18;
16 ago 2016;543,50;556,18;
17 ago 2016;544,03;556,53;
18 ago 2016;543,97;556,57;
19 ago 2016;544,66;557,34;
20 ago 2016;545,11;557,80;
21 ago 2016;545,11;557,80;
22 ago 2016;545,11;557,80;
23 ago 2016;545,01;557,65;
24 ago 2016;545,02;557,63;
25 ago 2016;545,02;557,62;
26 ago 2016;546,03;558,69;
27 ago 2016;546,11;558,77;
28 ago 2016;546,11;558,77;
29 ago 2016;546,11;558,77;
30 ago 2016;546,00;558,63;
31 ago 2016;545,98;558,64;
1 set 2016;546,00;558,63;
2 set 2016;545,99;558,60;
3 set 2016;546,00;558,60;
4 set 2016;546,00;558,60;
5 set 2016;546,00;558,60;
6 set 2016;546,02;558,61;
7 set 2016;545,94;558,59;
8 set 2016;546,20;558,83;
9 set 2016;546,35;558,96;
10 set 2016;546,37;558,99;
11 set 2016;546,37;558,99;
12 set 2016;546,37;558,99;
13 set 2016;546,53;559,10;
14 set 2016;546,16;558,78;
15 set 2016;545,49;558,08;
16 set 2016;545,49;558,08;
17 set 2016;545,26;557,76;
18 set 2016;545,26;557,76;
19 set 2016;545,26;557,76;
20 set 2016;545,12;557,69;
21 set 2016;545,20;557,77;
22 set 2016;545,35;557,92;
23 set 2016;545,92;558,56;
24 set 2016;545,94;558,59;
25 set 2016;545,94;558,59;
26 set 2016;545,94;558,59;
27 set 2016;545,97;558,62;
28 set 2016;545,93;558,63;
29 set 2016;545,95;558,61;
30 set 2016;546,33;558,80;
1 oct 2016;546,35;558,86;
2 oct 2016;546,35;558,86;
3 oct 2016;546,35;558,86;
4 oct 2016;546,33;558,80;
5 oct 2016;546,91;559,41;
6 oct 2016;547,23;559,78;
7 oct 2016;547,25;559,76;
8 oct 2016;547,21;559,80;
9 oct 2016;547,21;559,80;
10 oct 2016;547,21;559,80;
11 oct 2016;547,23;559,76;
12 oct 2016;547,18;559,79;
13 oct 2016;547,19;559,80;
14 oct 2016;547,24;559,82;
15 oct 2016;547,26;559,82;
16 oct 2016;547,26;559,82;
17 oct 2016;547,26;559,82;
18 oct 2016;547,26;559,82;
19 oct 2016;547,32;559,82;
20 oct 2016;547,27;559,84;
21 oct 2016;547,25;559,83;
22 oct 2016;547,23;559,82;
23 oct 2016;547,23;559,82;
24 oct 2016;547,23;559,82;
25 oct 2016;547,20;559,81;
26 oct 2016;547,38;559,98;
27 oct 2016;547,40;559,99;
28 oct 2016;547,55;560,17;
29 oct 2016;547,38;560,18;
30 oct 2016;547,38;560,18;
31 oct 2016;547,38;560,18;
1 nov 2016;547,40;560,12;
2 nov 2016;547,60;560,12;
3 nov 2016;547,79;560,30;
4 nov 2016;547,94;560,43;
5 nov 2016;548,45;561,04;
6 nov 2016;548,45;561,04;
7 nov 2016;548,45;561,04;
8 nov 2016;548,71;561,27;
9 nov 2016;548,69;561,32;
10 nov 2016;549,03;561,64;
11 nov 2016;549,34;561,98;
12 nov 2016;549,13;561,81;
13 nov 2016;549,13;561,81;
14 nov 2016;549,13;561,81;
15 nov 2016;549,16;561,79;
16 nov 2016;549,13;561,80;
17 nov 2016;549,12;561,79;
18 nov 2016;548,70;561,35;
19 nov 2016;548,04;560,74;
20 nov 2016;548,04;560,74;
21 nov 2016;548,04;560,74;
22 nov 2016;547,43;559,99;
23 nov 2016;547,36;559,95;
24 nov 2016;547,34;559,90;
25 nov 2016;547,05;559,72;
26 nov 2016;546,82;559,53;
27 nov 2016;546,82;559,53;
28 nov 2016;546,82;559,53;
29 nov 2016;546,58;559,15;
30 nov 2016;545,75;558,40;
